"data_input","input_id","type","drug","input_markers"
"phospho","aml_.5Z..7.Oxozeaenol","aml",".5Z..7.Oxozeaenol","X.5Z..7.Oxozeaenol.aml-OSI.027.aml-CR.1.31B.aml-Axitinib.aml-tandutinib.aml-Ki8751.aml-tipifarnib.aml-KW.2449.aml-Vinblastine.aml-Bosutinib.aml-Midostaurin.aml-NSC48300.aml-tamatinib.aml-KIN001.260.aml-FMK.aml-AICAR.aml-Lisitinib.aml-rigosertib.aml-spautin.1.aml-Panobinostat.aml-parbendazole.aml-GMX.1778.aml-R428.aml"
"phospho","aml_17.AAG","aml","17.AAG","LE.135.aml-GSK690693.aml-X5.FU.aml-pluripotin.aml-X17.AAG.aml-NVP.BEZ235.aml-ZSTK474.aml-VER.155008.aml-PD.0332991.aml-AZD6482.aml-MLN4924.aml-PHA.793887.aml-AA.COCF3.aml-GDC.0941.aml-Ispinesib.Mesylate.aml-PIK.93.aml-Bexarotene.aml-Dasatinib.aml-thapsigargin.aml-Bleomycin.aml-KU.0063794.aml-BX.912.aml-Vinorelbine.aml-WZ3105.aml-CCT018159.aml-CGP.60474.aml-Camptothecin.aml-ATRA.aml-BIX02189.aml-Bryostatin.1.aml-RAF265.aml-decitabine.aml-MG.132.aml-ABT.263.aml-MLN2238.aml-ruxolitinib.aml-RG.108.aml-ML320.aml-GMX.1778.aml-ML162.aml-STF.31.aml-rigosertib.aml-LAQ824.aml-Panobinostat.aml-R428.aml-FK866.aml-Bortezomib.aml-CX.5461.aml-KPT185.aml-belinostat.aml-TL.1.85.aml-KX2.391.aml-RITA.aml-Merck60.aml-Cytarabine.aml-AR.42.aml-JW.7.24.1.aml"
"phospho","aml_1S","aml","1S","FH535.aml-Lisitinib.aml-LAQ824.aml-Panobinostat.aml-JQ.1.aml-MS.275.aml-ABT.263.aml-Gemcitabine.aml-SL.0101.1.aml-GSK.650394.aml-Doxorubicin.aml-manumycin.A.aml-silmitasertib.aml-Oxaliplatin.aml-avrainvillamide.aml-vincristine.aml-Ko.143.aml-nakiterpiosin.aml-austocystin.d.aml-prima.1.aml-AZD.7545.aml-KU.60019.aml-ML210.aml"
"phospho","aml_3.Cl.AHPC","aml","3.Cl.AHPC","CUDC.101.aml-Talazoparib.aml-X3.Cl.AHPC.aml-salermide.aml-Obatoclax.Mesylate.aml-CAY10603.aml-KIN001.055.aml-CD.1530.aml-Vandetanib.aml-GW843682X.aml-FR.180204.aml-NSC632839.aml-I.BET151.aml-QL.XI.92.aml-austocystin.d.aml-indisulam.aml-TL.2.105.aml-EKB.569.aml-spautin.1.aml-silmitasertib.aml-GSK525762A.aml-Ko.143.aml-THZ.2.49.aml-AZD.7545.aml-isoevodiamine.aml-tubastatin.A.aml-brivanib.aml-Mitomycin.C.aml-avrainvillamide.aml-TAK.715.aml-GSK269962A.aml-ABT.263.aml-BHG712.aml-cabozantinib.aml-ML162.aml-NSC95397.aml-momelotinib.aml"
"phospho","aml_5.FU","aml","5.FU","GSK525762A.aml-X5.FU.aml-THZ.2.49.aml-AZD8055.aml-KIN001.260.aml-CGP.60474.aml-bardoxolone.methyl.aml-OSI.027.aml-NVP.BEZ235.aml-fluvastatin.aml-I.BET151.aml-CD.1530.aml-Ch.55.aml-Bleomycin.aml-BI.2536.aml-Nutlin.3.aml-Oxaliplatin.aml-RDEA119.aml-brivanib.aml-Vinorelbine.aml-IPA.3.aml-KU.0063794.aml-NSC632839.aml-Ko.143.aml-CD.437.aml-PIK.93.aml-TL.2.105.aml-FMK.aml-ATRA.aml-QL.X.138.aml-R428.aml-rigosertib.aml-ABT.199.aml-decitabine.aml-momelotinib.aml-ML162.aml-KX2.391.aml"
"phospho","aml_681640","aml","681640","PD.0325901.aml-BX.795.aml-NVP.ADW742.aml-linifanib.aml-CEP.701.aml-X681640.aml-OSI.906.aml-phloretin.aml-ATRA.aml-WZ3105.aml-PD173074.aml-CCT007093.aml-PHA.793887.aml-NSC23766.aml-FMK.aml-GDC.0941.aml-AZD6482.aml-Bexarotene.aml-simvastatin.aml-LE.135.aml-Nutlin.3a.....aml-fluvastatin.aml-Vinblastine.aml-Ispinesib.Mesylate.aml-Dasatinib.aml-JQ12.aml-AT.7519.aml-OSI.027.aml-THZ.2.102.1.aml-TW.37.aml-Cytarabine.aml-KPT185.aml-SCH.79797.aml-RAF265.aml-belinostat.aml-CX.5461.aml-RITA.aml-regorafenib.aml-parbendazole.aml-Irinotecan.aml"
"phospho","aml_A.443654","aml","A.443654","BAY.61.3606.aml-XMD8.85.aml-GW843682X.aml-AUY922.aml-fluvastatin.aml-CGP.60474.aml-JNK.9L.aml-KIN001.260.aml-GSK.650394.aml-Y.39983.aml-MPS.1.IN.1.aml-A.443654.aml-OSI.027.aml-BMS.345541.aml-AP.24534.aml-Z.LLNle.CHO.aml-AZ628.aml-QS11.aml-IPA.3.aml-tandutinib.aml-Vinorelbine.aml-BIX02189.aml-JW.7.52.1.aml-FMK.aml-Bleomycin.aml-Ch.55.aml-AZD8055.aml-Pyrimethamine.aml-QL.X.138.aml-NVP.BEZ235.aml-ML162.aml-momelotinib.aml-decitabine.aml-STF.31.aml-parbendazole.aml-MLN2238.aml-rigosertib.aml-CAY10618.aml-Mdivi.1.aml"
"phospho","aml_AA.COCF3","aml","AA.COCF3","AA.COCF3.aml-Ko.143.aml-CD.437.aml-NSC632839.aml-manumycin.A.aml-VER.155008.aml-nakiterpiosin.aml-isoevodiamine.aml-NVP.231.aml-canertinib.aml-austocystin.d.aml-brivanib.aml-X5.FU.aml-AZD.7545.aml-salermide.aml-NSC48300.aml-KU.60019.aml-epigallocatechin.3.monogallate.aml-indisulam.aml-MLN4924.aml-KIN001.055.aml-Bosutinib.aml-AM.580.aml-NVP.BEZ235.aml-Rapamycin.aml-vincristine.aml-avrainvillamide.aml-KW.2449.aml-Zebularine.aml-SN.38.aml-Lisitinib.aml-JQ.1.aml-Parthenolide.aml-LAQ824.aml-Gemcitabine.aml-Cytarabine.aml-KX2.391.aml-ML320.aml-Panobinostat.aml-MS.275.aml-Docetaxel.aml-AS605240.aml"
"phospho","aml_ABT.199","aml","ABT.199","ABT.737.aml-PX.12.aml-ABT.199.aml-AICAR.aml-X16.beta.bromoandrosterone.aml-SN.38.aml-erastin.aml-Sunitinib.aml-Midostaurin.aml-tandutinib.aml-prima.1.aml-Ki8751.aml-purmorphamine.aml-XMD8.85.aml-HG.6.64.1.aml-tipifarnib.aml-BHG712.aml-regorafenib.aml-Tipifarnib.aml-spautin.1.aml-STF.31.aml-CAY10618.aml-FK866.aml-THZ.2.49.aml-decitabine.aml-GSK461364.aml-I.BET.762.aml-phloretin.aml-SB.743921.aml-indisulam.aml-SL.0101.1.aml-YM201636.aml"
"phospho","aml_ABT.263","aml","ABT.263","ABT.263.aml-AICAR.aml-erastin.aml-PX.12.aml-ABT.737.aml-HG.6.64.1.aml-ABT.199.aml-Compound.7d.cis.aml-QS11.aml-spautin.1.aml-SB.743921.aml-phloretin.aml-NVP.231.aml-KIN001.102.aml-Dasatinib.aml-bardoxolone.methyl.aml-Panobinostat.aml-CD.437.aml-SNS.032.aml-KIN001.244.aml-CAY10618.aml-STF.62247.aml-STF.31.aml-parbendazole.aml-GSK461364.aml"
