X,CMK,HEL,HL.60,K052,KASUMI.1,KG.1,KMOE.2,ME.1,ML.2,MOLM.13,MONO.MAC.6,MV.4.11,NOMO.1,OCI.AML3,OCI.AML5,OCI.M1,P31.FUJ,PL.21,SIG.M5,SKM.1,THP.1,AML.193,GDM.1,M.07e,NB4,OCI.AML2,COLO.680N,KYSE.140,KYSE.150,KYSE.520,KYSE.70,OE19,OE33,KYSE.410,KYSE.450,KYSE.510,HEP.3B,HEP.G2,JHH.2,PLC.PRF.5,SK.HEP.1,SNU.387,SNU.423,SNU.449,SNU.475,JHH.4,SNU.182,SNU.398
Axitinib,0.107032309,0.135841078,0.128270795,0.302772116,0.716752904,0.415005294,9.01E-02,5.90E-02,0.158987837,0.195839924,6.68E-02,0.200537709,0.19403409,0.16076567,0.195757259,9.62E-02,0.178002009,0.101067648,0.187848353,0.202296898,0.11903015,0.324415176,0.280264836,0.266126571,0.150143692,0.154366753,5.27E-02,0.131015569,0.10458067,0.126488824,7.45E-02,5.84E-02,7.03E-02,0.145795567,6.53E-02,6.24E-02,0.257583951,0.119343199,7.56E-02,0.135960391,6.81E-02,0.107981671,0.132876395,9.33E-02,0.273492824,0.101537291,0.205075819,0.186716963
azacitidine,6.29E-02,6.34E-02,1.06E-02,4.43E-02,NA,NA,NA,NA,NA,9.45E-02,NA,6.97E-02,6.89E-02,3.35E-02,4.92E-03,1.51E-02,6.35E-02,5.51E-02,2.15E-02,2.65E-02,0.147292464,5.62E-02,NA,3.61E-02,3.98E-02,0.153105681,8.43E-04,9.46E-03,1.11E-02,1.28E-02,2.46E-02,8.43E-03,0.136094,5.40E-02,1.25E-02,4.28E-02,9.03E-02,4.85E-02,6.19E-02,5.79E-02,6.40E-03,3.13E-03,4.69E-02,1.35E-02,4.07E-02,7.47E-03,4.50E-02,0.102331825
belinostat,0.760952298,1,0.598594637,0.607188598,0.612038842,0.806563505,0.678250532,0.699792269,0.546702985,0.72990416,0.639581294,0.841264707,0.672973026,0.592798932,0.69230209,0.741248465,0.529646488,0.477488138,0.692023052,NA,0.768653693,0.548528908,0.799800114,0.572746057,0.84666296,0.713113031,4.91E-03,3.26E-03,0.381698149,0.461613763,0.513985582,0.320959721,0.4002635,0.476489134,0.467970064,0.342261,0.817319053,NA,0.555470405,0.28215924,0.407103888,0.65565886,0.729417626,0.332165982,0.84555097,0.695303351,0.711037207,0.594505629
bendamustine,1.67E-02,2.89E-02,1.63E-02,2.98E-02,3.89E-02,NA,NA,9.36E-02,NA,0.1247927,NA,0.191076699,NA,NA,7.76E-02,1.56E-02,3.07E-02,NA,3.06E-02,NA,8.71E-02,7.03E-02,NA,4.16E-02,NA,NA,1.69E-02,6.46E-03,1.98E-02,7.50E-02,3.15E-02,7.26E-02,6.41E-02,0.135644267,6.44E-02,1.88E-02,7.88E-03,NA,0.139686694,7.15E-02,2.62E-03,0.115016964,6.60E-02,3.94E-02,0.127525834,7.46E-04,1.25E-02,3.34E-02
Bexarotene,0.170356109,1.97E-02,0.216302334,0.1685198,8.65E-02,9.92E-02,3.19E-02,6.06E-02,0.103161626,0.161999768,0.231027403,0.453655373,0.222552,0.21638825,0.189666602,9.53E-02,2.32E-02,0.210200657,0.554106581,0.280663461,0.12181196,9.35E-02,0.129312667,4.46E-02,2.00E-02,8.36E-02,1.68E-02,4.27E-02,6.40E-02,9.71E-02,5.81E-02,6.32E-02,5.53E-02,3.33E-02,7.54E-02,4.00E-02,4.84E-02,3.21E-02,3.45E-03,2.42E-02,0.139765192,0.120520477,0.219045588,1.28E-02,0.170424267,5.15E-02,8.07E-02,9.96E-02
Bicalutamide,1.26E-02,1.09E-02,2.19E-02,0,2.46E-02,4.42E-03,1.40E-02,2.64E-02,1.86E-02,1.67E-02,5.03E-02,1.62E-02,5.70E-02,1.26E-03,7.67E-03,3.05E-03,1.21E-02,2.32E-02,7.18E-03,6.81E-02,3.06E-03,NA,3.60E-02,NA,4.94E-03,1.82E-03,6.42E-02,0,2.23E-02,1.60E-02,8.20E-02,7.38E-02,3.26E-02,1.58E-02,5.20E-03,2.31E-02,7.43E-02,NA,3.81E-03,1.54E-02,7.25E-02,3.22E-02,2.15E-02,4.05E-02,5.40E-02,2.57E-02,4.05E-03,1.35E-02
Bleomycin,0.136787456,0.203195337,0.110030536,1.08E-02,5.95E-02,0.933653998,6.70E-02,0.139262306,0.538302828,0.284933609,0.251429443,0.505776358,0.28280369,0.177335751,0.329487695,8.51E-02,9.28E-02,0.201357363,0.505743358,0.133078111,0.139589063,1.76E-02,0.403581898,0.338802362,0.35356684,0.34863473,0.369877178,0.37271857,0.559455666,0.501460202,0.429929915,0.37976813,0.266791033,0.310541723,0.359867953,0.418387667,0.48261395,4.58E-02,0.110260903,0.173084973,0.530444645,0.442625482,0.486895647,0.511420423,0.367398299,0.287660551,0.187434387,0.547013657
Bortezomib,0.445999434,0.460051272,0.275764909,0.326406977,0.343248861,0.551280763,0.451744958,0.379422742,0.590025176,0.40310281,0.40523382,0.454483635,0.40195496,0.374820968,0.391370883,0.545715081,0.160995356,0.308067127,0.409834899,0.366734768,0.277626799,0.195407844,0.484677845,0.318339617,0.286309351,0.417696445,0.31116911,0.20753619,0.418987464,0.374872551,0.233413899,0.36768373,0.2739975,0.351405387,0.280056287,0.2461355,0.359291493,0.305149745,0.36471404,0.233965476,0.389316832,0.313068379,0.370781931,0.1943872,0.33807752,0.294472664,0.348483131,0.246893648
Bosutinib,7.65E-02,0.151409212,0.174633535,0.285434461,0.176192641,NA,0.176723778,0.143964615,8.19E-02,0.237658156,0.241589152,0.270448052,0.101934184,0.183960793,0.152793194,0.142783562,0.22613576,0.238764346,0.319095042,0.285007763,0.153286202,0.318814133,0.185787734,0.319884369,0.143437484,0.153737237,0.147280909,0.398174084,0.179005359,0.288216188,0.116972013,0.10565873,8.78E-02,0.423823147,0.19832867,0.18029285,0.195495751,0.244740868,0.129536614,0.21696668,0.164748596,0.180248186,0.121505582,0.143966835,0.228094595,0.150804241,0.25932478,0.118444492
cabozantinib,0.21702043,2.43E-02,0.125950963,0.19844383,0.639977471,NA,NA,NA,NA,0.862604281,0.544051317,0.886732301,NA,0.185502648,0.235826469,7.55E-02,0.216007804,0.149044446,0.204362837,NA,0.141012982,0.270058215,NA,0.174035436,NA,NA,9.43E-02,7.61E-02,0.191321239,8.30E-02,7.20E-02,3.40E-03,0.281936,NA,8.01E-02,7.67E-02,0.181254357,0.106789906,0.210622166,8.07E-02,0.174050724,0.180277764,0.188382644,0.155985897,0.306470472,0.234678406,0.251847458,7.20E-02
