X,...1.y,targets,target.id,target.class,drug_id,Name,Synonyms,Targets,Target.pathway,Targets2,PubCHEM,Sample.Size,Count,X,X.1,development
Axitinib,114,Vascular endothelial growth factor receptor 2,P35968,Kinase,1021,Axitinib,"AG-13736, Inlyta","PDGFR, KIT, VEGFR",RTK signaling,"PDGFR, KIT, VEGFR",6450551,GDSC2,50,SANGER,495,approved
azacitidine,1,DNMT1;DNA (cytosine-5)-methyltransferase,P26358,Methyltransferase superfamily,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
belinostat,135,HDAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
bendamustine,2,Human DNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Bexarotene,137,Retinoic acid receptor RXR-alpha,P19793,Zinc-finger,186,Bexarotene,"LG-100069, Targretin, Targret, Targrexin, Targretyn, Bexarotenum",Retinioic X receptor (RXR) agonist,Other,Retinioic X receptor (RXR) agonist,82146,GDSC1,870,MGH,495,approved
Bicalutamide,142,Androgen receptor,P10275,Zinc-finger,1502,Bicalutamide,"ICI-176334, Casodex, Cosudex, ICI 176334",AR,Hormone-related,AR,2375,GDSC1,877,SANGER,495,approved
Bleomycin,149,DNA,P0AEB2,NA,1378,Bleomycin (50 uM),NA,dsDNA break induction,DNA replication,dsDNA break induction,5460769,GDSC1,935,SANGER,495,approved
Bortezomib,157,Proteasome,NA,NA,1191,Bortezomib,"PS-341, LDP-341, Velcade",Proteasome,Protein stability and degradation,Proteasome,387447,GDSC2,757,SANGER,495,approved
Bosutinib,158,Proto-oncogene tyrosine-protein kinase SRC;Proto-oncogene c-Abl,P12931;P00519,Kinase,1019,Bosutinib,"SKI-606, Bosulif","SRC, ABL, TEC","Other, kinases","SRC, ABL, TEC",5328940,GDSC1,948,SANGER,495,approved
cabozantinib,166,Vascular endothelial growth factor receptor 2;Hepatocyte growth factor receptor,P35968;P08581,Kinase,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Carboplatin,3,Tubulin beta-1 chain;Human DNA,Q9H4B7,Tubulin family,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
chlorambucil,12,DNA,P0AEB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Cisplatin,16,mRNA of Telomerase reverse transcriptase;Human DNA,O14746,Kinase,1005,Cisplatin,"cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP",DNA crosslinker,DNA replication,DNA crosslinker,84691,GDSC2,769,SANGER,495,approved
clofarabine,17,DNA;Ribonucleoside-diphosphate reductase;DNA synthesis,P0AEB2;P08543,Oxidoreductases acting on CH or CH(2) groups,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Crizotinib,210,Hepatocyte growth factor receptor;ALK tyrosine kinase receptor;ROS1,P08581;Q9UM73;P08922,Kinase,1083,Crizotinib,"Xalkori, PF2341066, PF-2341066, PF 2341066","MET, ALK, ROS1",RTK signaling,"MET, ALK, ROS1",11626560,GDSC2,738,SANGER,495,approved
Cyclophosphamide,18,Human DNA,NA,NA,1512,Cyclophosphamide,"Cytoxan, Neosar, Cyclophosphamid, Procytox, Cyclophosphane",Alkylating agent,DNA replication,Alkylating agent,2907,GDSC2,752,SANGER,495,approved
Cytarabine,19,DNA polymerase;mRNA of bcl2,P04293,DNA polymerase type-B family,1006,Cytarabine,"Ara-Cytidine, Arabinosyl Cytosine, U-19920",Antimetabolite,Other,Antimetabolite,6253,GDSC2,753,SANGER,495,approved
dabrafenib,219,BRAF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
dacarbazine,20,DNA;mRNA of bcl2,P0AEB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Dasatinib,221,Proto-oncogene tyrosine-protein kinase SRC;Fyn tyrosine kinase;Lck tyrosine kinase;Proto-oncogene c-Abl,P12931;P06241;P06239;P00519,Kinase,1079,Dasatinib,"BMS-354825-03, BMS-354825, Sprycel","ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases","ABL, SRC, Ephrins, PDGFR, KIT",3062316,GDSC2,761,SANGER,495,approved
dexamethasone,225,Glucocorticoid receptor;Steroid hormone receptor ERR1;DNA topoisomerase II;mRNA of bcl2,P04150;P11474,Zinc-finger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,approved
Docetaxel,228,Tubulin,Q13509,Tubulin family,1819,Docetaxel,"RP-56976, Taxotere",Microtubule stabiliser,Mitosis,Microtubule stabiliser,NA,GDSC2,679,SANGER,495,approved
Doxorubicin,22,Estrogen receptor;Estrogen receptor beta;Legumain;DNA topoisomerase II;Human DNA,P03372;Q92731;Q99538,Zinc-finger,133,Doxorubicin,"Doxil, Rubex, Adriamycin, Adriablastin, Doxorubicine",Anthracycline,DNA replication,Anthracycline,31703,GDSC1,878,MGH,495,approved
